FilePath,FileName,DateCreate,DateModify,Status
AA025E,\\192.168.2.39\d3e\23年04月17日_d3,T-MTF_2023.04.17_d3.csv,2023.04.17,17/04/2023,OK
AA025E,\\192.168.2.39\d3e\23年04月18日_d3,T-MTF_2023.04.18_d3.csv,2023.04.18,18/04/2023,OK
AA025E,\\192.168.2.39\d3e\23年04月19日_d3,T-MTF_2023.04.19_d3.csv,2023.04.19,19/04/2023,OK
AA025E,\\192.168.2.39\d3e\23年04月20日_d3,T-MTF_2023.04.20_d3.csv,2023.04.20,20/04/2023,OK
AA025E,\\192.168.2.39\d3e\23年04月21日_d3,T-MTF_2023.04.21_d3.csv,2023.04.21,21/04/2023,OK
AA025E,\\192.168.2.39\d3e\23年04月28日_d3,T-MTF_2023.04.28_d3.csv,2023.04.28,28/04/2023,OK
