FilePath,FileName,DateCreate,DateModify,Status
AB028E,\\192.168.2.214\d3e\23年04月01日_d3,T-MTF_2023.04.01_d3.csv,2023.04.01,01/04/2023,OK
AB028E,\\192.168.2.214\d3e\23年04月04日_d3,T-MTF_2023.04.04_d3.csv,2023.04.04,04/04/2023,OK
AB028E,\\192.168.2.214\d3e\23年04月05日_d3,T-MTF_2023.04.05_d3.csv,2023.04.05,05/04/2023,OK
AB028E,\\192.168.2.214\d3e\23年04月10日_d3,T-MTF_2023.04.10_d3.csv,2023.04.10,10/04/2023,OK
AB028E,\\192.168.2.214\d3e\23年04月11日_d3,T-MTF_2023.04.11_d3.csv,2023.04.11,11/04/2023,OK
AB028E,\\192.168.2.214\d3e\23年04月15日_d3,T-MTF_2023.04.15_d3.csv,2023.04.15,15/04/2023,OK
AB028E,\\192.168.2.214\d3e\23年04月18日_d3,T-MTF_2023.04.18_d3.csv,2023.04.18,18/04/2023,OK
AB028E,\\192.168.2.214\d3e\23年04月21日_d3,T-MTF_2023.04.21_d3.csv,2023.04.21,21/04/2023,OK
AB028E,\\192.168.2.214\d3e\23年04月22日_d3,T-MTF_2023.04.22_d3.csv,2023.04.22,22/04/2023,OK
AB028E,\\192.168.2.214\d3e\23年04月24日_d3,T-MTF_2023.04.24_d3.csv,2023.04.24,24/04/2023,OK
AB028E,\\192.168.2.214\d3e\23年04月25日_d3,T-MTF_2023.04.25_d3.csv,2023.04.25,25/04/2023,OK
