FilePath,FileName,DateCreate,DateModify,Status
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月01日_d3,T-MTF_2023.03.01_d3.csv,2023.03.01,01/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月02日_d3,T-MTF_2023.03.02_d3.csv,2023.03.02,02/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月03日_d3,T-MTF_2023.03.03_d3.csv,2023.03.03,03/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月04日_d3,T-MTF_2023.03.04_d3.csv,2023.03.04,04/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月05日_d3,T-MTF_2023.03.05_d3.csv,2023.03.05,05/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月06日_d3,T-MTF_2023.03.06_d3.csv,2023.03.06,06/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月07日_d3,T-MTF_2023.03.07_d3.csv,2023.03.07,07/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月08日_d3,T-MTF_2023.03.08_d3.csv,2023.03.08,08/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月09日_d3,T-MTF_2023.03.09_d3.csv,2023.03.09,09/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月10日_d3,T-MTF_2023.03.10_d3.csv,2023.03.10,10/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月11日_d3,T-MTF_2023.03.11_d3.csv,2023.03.11,11/03/2023,OK
AA056SF,\\192.168.1.168\Tamron\Data_Inspc2\Inspection\d3\23年03月13日_d3,T-MTF_2023.03.13_d3.csv,2023.03.13,13/03/2023,OK
