FilePath,FileName,DateCreate,DateModify
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月01日_d3,T-MTF_2023.03.01_d3.csv,2023.03.01,01/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月02日_d3,T-MTF_2023.03.02_d3.csv,2023.03.02,02/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月03日_d3,T-MTF_2023.03.03_d3.csv,2023.03.03,03/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月04日_d3,T-MTF_2023.03.04_d3.csv,2023.03.04,04/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月05日_d3,T-MTF_2023.03.05_d3.csv,2023.03.05,05/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月06日_d3,T-MTF_2023.03.06_d3.csv,2023.03.06,06/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月07日_d3,T-MTF_2023.03.07_d3.csv,2023.03.07,07/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月08日_d3,T-MTF_2023.03.08_d3.csv,2023.03.08,08/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月09日_d3,T-MTF_2023.03.09_d3.csv,2023.03.09,09/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月10日_d3,T-MTF_2023.03.10_d3.csv,2023.03.10,10/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月11日_d3,T-MTF_2023.03.11_d3.csv,2023.03.11,11/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月13日_d3,T-MTF_2023.03.13_d3.csv,2023.03.13,13/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月15日_d3,T-MTF_2023.03.15_d3.csv,2023.03.15,15/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月16日_d3,T-MTF_2023.03.16_d3.csv,2023.03.16,16/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月17日_d3,T-MTF_2023.03.17_d3.csv,2023.03.17,17/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月18日_d3,T-MTF_2023.03.18_d3.csv,2023.03.18,18/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月19日_d3,T-MTF_2023.03.19_d3.csv,2023.03.19,19/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月21日_d3,T-MTF_2023.03.21_d3.csv,2023.03.21,21/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月22日_d3,T-MTF_2023.03.22_d3.csv,2023.03.22,22/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月23日_d3,T-MTF_2023.03.23_d3.csv,2023.03.23,23/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月24日_d3,T-MTF_2023.03.24_d3.csv,2023.03.24,24/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月25日_d3,T-MTF_2023.03.25_d3.csv,2023.03.25,25/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月27日_d3,T-MTF_2023.03.27_d3.csv,2023.03.27,27/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月28日_d3,T-MTF_2023.03.28_d3.csv,2023.03.28,28/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月29日_d3,T-MTF_2023.03.29_d3.csv,2023.03.29,29/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月30日_d3,T-MTF_2023.03.30_d3.csv,2023.03.30,30/03/2023,OK
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年03月31日_d3,T-MTF_2023.03.31_d3.csv,2023.03.31,31/03/2023,OK
