FilePath,FileName,DateCreate,DateModify,Status
AF044,\\192.168.2.23\d3\22年02月09日_d3,T-MTF_2022.02.09_d3.csv,2022.02.09,09/02/2022,OK
AF044,\\192.168.2.23\d3\22年02月10日_d3,T-MTF_2022.02.10_d3.csv,2022.02.10,10/02/2022,OK
AF044,\\192.168.2.23\d3\22年02月11日_d3,T-MTF_2022.02.11_d3.csv,2022.02.11,11/02/2022,OK
AF044,\\192.168.2.23\d3\22年02月12日_d3,T-MTF_2022.02.12_d3.csv,2022.02.12,12/02/2022,OK
AF044,\\192.168.2.23\d3\22年02月14日_d3,T-MTF_2022.02.14_d3.csv,2022.02.14,14/02/2022,OK
AF044,\\192.168.2.23\d3\22年02月15日_d3,T-MTF_2022.02.15_d3.csv,2022.02.15,15/02/2022,OK
AF044,\\192.168.2.23\d3\22年02月16日_d3,T-MTF_2022.02.16_d3.csv,2022.02.16,16/02/2022,OK
AF044,\\192.168.2.23\d3\22年02月17日_d3,T-MTF_2022.02.17_d3.csv,2022.02.17,17/02/2022,OK
AF044,\\192.168.2.23\d3\22年02月18日_d3,T-MTF_2022.02.18_d3.csv,2022.02.18,18/02/2022,OK
