FilePath,FileName,NumberLine,Header,End,Status
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年04月01日_d3,T-MTF_2023.04.01_d3.csv,10,0003290100049556,0003290100049555,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年04月01日_d3,T-MTF_2023.04.01_d3.csv,27,0003290100049557,0003290100049555,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年04月03日_d3,T-MTF_2023.04.03_d3.csv,1240,3290100049968,0003290100049968,NG
AA062S,C:\Users\TA\OneDrive\Desktop\datatest\23年04月03日_d3,T-MTF_2023.04.03_d3.csv,1517,0003290100049948,3290100049948,NG
