FilePath,FileName,DateCreate,DateModify,Status
AA038,\\192.168.2.101\d3\22年07月01日_d3,T-MTF_2022.07.01_d3.csv,2022.07.01,01/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月02日_d3,T-MTF_2022.07.02_d3.csv,2022.07.02,02/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月04日_d3,T-MTF_2022.07.04_d3.csv,2022.07.04,04/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月05日_d3,T-MTF_2022.07.05_d3.csv,2022.07.05,05/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月06日_d3,T-MTF_2022.07.06_d3.csv,2022.07.06,06/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月07日_d3,T-MTF_2022.07.07_d3.csv,2022.07.07,07/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月08日_d3,T-MTF_2022.07.08_d3.csv,2022.07.08,08/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月10日_d3,T-MTF_2022.07.10_d3.csv,2022.07.10,10/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月12日_d3,T-MTF_2022.07.12_d3.csv,2022.07.12,12/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月13日_d3,T-MTF_2022.07.13_d3.csv,2022.07.13,13/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月14日_d3,T-MTF_2022.07.14_d3.csv,2022.07.14,14/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月15日_d3,T-MTF_2022.07.15_d3.csv,2022.07.15,15/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月16日_d3,T-MTF_2022.07.16_d3.csv,2022.07.16,16/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月17日_d3,T-MTF_2022.07.17_d3.csv,2022.07.17,17/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月18日_d3,T-MTF_2022.07.18_d3.csv,2022.07.18,18/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月19日_d3,T-MTF_2022.07.19_d3.csv,2022.07.19,19/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月20日_d3,T-MTF_2022.07.20_d3.csv,2022.07.20,20/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月21日_d3,T-MTF_2022.07.21_d3.csv,2022.07.21,21/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月22日_d3,T-MTF_2022.07.22_d3.csv,2022.07.22,22/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月25日_d3,T-MTF_2022.07.25_d3.csv,2022.07.25,25/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月26日_d3,T-MTF_2022.07.26_d3.csv,2022.07.26,26/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月27日_d3,T-MTF_2022.07.27_d3.csv,2022.07.27,27/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月28日_d3,T-MTF_2022.07.28_d3.csv,2022.07.28,28/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月29日_d3,T-MTF_2022.07.29_d3.csv,2022.07.29,29/07/2022,OK
AA038,\\192.168.2.101\d3\22年07月30日_d3,T-MTF_2022.07.30_d3.csv,2022.07.30,30/07/2022,OK
