 FilePath,FileName,DateModify,Status
AA025N,\\192.168.2.26\Confign\Measure\TELE\measConfig.csv,measConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Measure\TELE\pixelPitchConfig.csv,pixelPitchConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Measure\WIDE\cameraCentAroundPositionConfig.csv,cameraCentAroundPositionConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Measure\WIDE\measConfig.csv,measConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Measure\WIDE\pixelPitchConfig.csv,pixelPitchConfig.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\autoExposureAbsVal.csv,autoExposureAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\brightnessAbsVal.csv,brightnessAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\frameRateAbsVal.csv,frameRateAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\gainAbsVal.csv,gainAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\gammaAbsVal.csv,gammaAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\sharpnessAbsVal.csv,sharpnessAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\abs\shutterAbsVal.csv,shutterAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\autoExposureAuto.csv,autoExposureAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\brightnessAuto.csv,brightnessAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\frameRateAuto.csv,frameRateAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\gainAuto.csv,gainAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\gammaAuto.csv,gammaAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\sharpnessAuto.csv,sharpnessAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\auto\shutterAuto.csv,shutterAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\onOff\autoExposureOnOff.csv,autoExposureOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\onOff\brightnessOnOff.csv,brightnessOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\onOff\frameRateOnOff.csv,frameRateOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\onOff\gainOnOff.csv,gainOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\onOff\gammaOnOff.csv,gammaOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\onOff\sharpnessOnOff.csv,sharpnessOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\TELE\onOff\shutterOnOff.csv,shutterOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\abs\autoExposureAbsVal.csv,autoExposureAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\abs\brightnessAbsVal.csv,brightnessAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\abs\frameRateAbsVal.csv,frameRateAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\abs\gainAbsVal.csv,gainAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\abs\gammaAbsVal.csv,gammaAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\abs\sharpnessAbsVal.csv,sharpnessAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\abs\shutterAbsVal.csv,shutterAbsVal.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\auto\autoExposureAuto.csv,autoExposureAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\auto\brightnessAuto.csv,brightnessAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\auto\frameRateAuto.csv,frameRateAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\auto\gainAuto.csv,gainAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\auto\gammaAuto.csv,gammaAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\auto\sharpnessAuto.csv,sharpnessAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\auto\shutterAuto.csv,shutterAuto.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\onOff\autoExposureOnOff.csv,autoExposureOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\onOff\brightnessOnOff.csv,brightnessOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\onOff\frameRateOnOff.csv,frameRateOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\onOff\gainOnOff.csv,gainOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\onOff\gammaOnOff.csv,gammaOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\onOff\sharpnessOnOff.csv,sharpnessOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\Camera\WIDE\onOff\shutterOnOff.csv,shutterOnOff.csv,08:55 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\20lp\imageTiltConfig.csv,imageTiltConfig.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\20lp\mdCalib_M.csv,mdCalib_M.csv,11:58 11/01/2018,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\20lp\mdCalib_S.csv,mdCalib_S.csv,11:59 11/01/2018,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\20lp\mdConfig_M.csv,mdConfig_M.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\20lp\mdConfig_S.csv,mdConfig_S.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\20lp\mdJudgementConfig_M.csv,mdJudgementConfig_M.csv,08:02 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\20lp\mdJudgementConfig_S.csv,mdJudgementConfig_S.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\40lp\imageTiltConfig.csv,imageTiltConfig.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\40lp\mdCalib_M.csv,mdCalib_M.csv,11:59 11/01/2018,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\40lp\mdCalib_S.csv,mdCalib_S.csv,11:59 11/01/2018,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\40lp\mdConfig_M.csv,mdConfig_M.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\40lp\mdConfig_S.csv,mdConfig_S.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\40lp\mdJudgementConfig_M.csv,mdJudgementConfig_M.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\TELE\70%\40lp\mdJudgementConfig_S.csv,mdJudgementConfig_S.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\WIDE\70%\20lp\imageTiltConfig.csv,imageTiltConfig.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\WIDE\70%\20lp\mdCalib_M.csv,mdCalib_M.csv,12:00 11/01/2018,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\WIDE\70%\20lp\mdCalib_S.csv,mdCalib_S.csv,12:01 11/01/2018,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\WIDE\70%\20lp\mdConfig_M.csv,mdConfig_M.csv,08:18 29/11/2016,OK
AA025N,\\192.168.2.26\Confign\MdDataSet\WIDE\70%\20lp\mdConfig_S.csv,mdConfig_S.csv,08:18 29/11/2016,OK
