FilePath,FileName,NumberLine,Header,End,Status
AB070X,\\192.168.2.99\d3x\23年04月09日_d3,T-MTF_2023.04.09_d3.csv,,,,OK
AB070X,\\192.168.2.99\d3x\23年04月10日_d3,T-MTF_2023.04.10_d3.csv,,,,OK
AB070X,\\192.168.2.99\d3x\23年04月11日_d3,T-MTF_2023.04.11_d3.csv,,,,OK
AB070X,\\192.168.2.99\d3x\23年04月12日_d3,T-MTF_2023.04.12_d3.csv,,,,OK
AB070X,\\192.168.2.99\d3x\23年04月13日_d3,T-MTF_2023.04.13_d3.csv,,,,OK
AB070X,\\192.168.2.99\d3x\23年04月14日_d3,T-MTF_2023.04.14_d3.csv,,,,OK
AB070X,\\192.168.2.99\d3x\23年04月15日_d3,T-MTF_2023.04.15_d3.csv,,,,OK
AB070X,\\192.168.2.99\d3x\23年04月28日_d3,T-MTF_2023.04.28_d3.csv,,,,OK
