FilePath,FileName,DateCreate,DateModify,Status
AAF053S,\\192.168.2.94\d353\23年04月13日_d3,T-MTF_2023.04.13_d3.csv,2023.04.13,13/04/2023,OK
AAF053S,\\192.168.2.94\d353\23年04月14日_d3,T-MTF_2023.04.14_d3.csv,2023.04.14,14/04/2023,OK
AAF053S,\\192.168.2.94\d353\23年04月15日_d3,T-MTF_2023.04.15_d3.csv,2023.04.15,15/04/2023,OK
AAF053S,\\192.168.2.94\d353\23年04月17日_d3,T-MTF_2023.04.17_d3.csv,2023.04.17,17/04/2023,OK
AAF053S,\\192.168.2.94\d353\23年04月24日_d3,T-MTF_2023.04.24_d3.csv,2023.04.24,24/04/2023,OK
AAF053S,\\192.168.2.94\d353\23年04月25日_d3,T-MTF_2023.04.25_d3.csv,2023.04.25,25/04/2023,OK
AAF053S,\\192.168.2.94\d353\23年04月26日_d3,T-MTF_2023.04.26_d3.csv,2023.04.26,26/04/2023,OK
AAF053S,\\192.168.2.94\d353\23年04月27日_d3,T-MTF_2023.04.27_d3.csv,2023.04.27,27/04/2023,OK
AAF053S,\\192.168.2.94\d353\23年04月28日_d3,T-MTF_2023.04.28_d3.csv,2023.04.28,28/04/2023,OK
