FilePath,FileName,NumberLine,Header,End,Status
AA038,\\192.168.2.101\d3\22年03月01日_d3,T-MTF_2022.03.01_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月02日_d3,T-MTF_2022.03.02_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月10日_d3,T-MTF_2022.03.10_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月11日_d3,T-MTF_2022.03.11_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月12日_d3,T-MTF_2022.03.12_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月13日_d3,T-MTF_2022.03.13_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月14日_d3,T-MTF_2022.03.14_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月15日_d3,T-MTF_2022.03.15_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月16日_d3,T-MTF_2022.03.16_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月17日_d3,T-MTF_2022.03.17_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月18日_d3,T-MTF_2022.03.18_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月19日_d3,T-MTF_2022.03.19_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月21日_d3,T-MTF_2022.03.21_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月22日_d3,T-MTF_2022.03.22_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月23日_d3,T-MTF_2022.03.23_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月24日_d3,T-MTF_2022.03.24_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月25日_d3,T-MTF_2022.03.25_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月26日_d3,T-MTF_2022.03.26_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月28日_d3,T-MTF_2022.03.28_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月29日_d3,T-MTF_2022.03.29_d3.csv,,,,OK
AA038,\\192.168.2.101\d3\22年03月30日_d3,T-MTF_2022.03.30_d3.csv,,,,OK
